Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x4932f4925b771a3f98677b667a28d79f2dd27357b6edb4827a3cf6656f49c349","Success","Transfer","22672601","2025-06-10 07:14:23","0x26261D5fC06de4d39F253D05a58E62B48750Aa6D","","0x8c018fE62835615565D5fbe28e6bAc6960888F4D","","54,602.719796","$54,592.02",""
"0x8b005cede641fb4dd658e777e6ec93cefec778d0a54d6af5f7641c3e8928e0c8","Success","Deposit","22672601","2025-06-10 07:14:23","0xe52520062163c37Bd1920808F66cF0009e8Ff3bd","","0xd5255Cc08EBAf6D54ac9448822a18d8A3da29A42","","998.826362","$998.63",""
"0xdfa4cc78a21ef5804bbdf7cdae3e8d5847a53c5b949d2e993ee19f7bbdfc9863","Success","0x2213bc0b","22672601","2025-06-10 07:14:23","0x5418226aF9C8d5D287A78FbBbCD337b86ec07D61","","0x0dBecaD6cDC77079Bb8A9758555065240164a008","","3.513046","$3.51",""
"0xdfa4cc78a21ef5804bbdf7cdae3e8d5847a53c5b949d2e993ee19f7bbdfc9863","Success","0x2213bc0b","22672601","2025-06-10 07:14:23","0x5418226aF9C8d5D287A78FbBbCD337b86ec07D61","","0x7AfA9D836d2fCCf172b66622625e56404E465dBD","","0.030116","$0.03",""
"0xdfa4cc78a21ef5804bbdf7cdae3e8d5847a53c5b949d2e993ee19f7bbdfc9863","Success","0x2213bc0b","22672601","2025-06-10 07:14:23","0xBB289bC97591F70D8216462DF40ED713011B968a","","0x5418226aF9C8d5D287A78FbBbCD337b86ec07D61","","3.543162","$3.54",""
"0x15b512702469ef1a8078d8f6e54d0423ba64fe9dcd649fde02365d96b341512a","Success","Handle Ops","22672601","2025-06-10 07:14:23","0xDf5E8288aF2D6d9E9E12EB6De008B11811a1d67C","","0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc","Uniswap V2: USDC","17.092185","$17.09",""
"0x15b512702469ef1a8078d8f6e54d0423ba64fe9dcd649fde02365d96b341512a","Success","Handle Ops","22672601","2025-06-10 07:14:23","0x95F7e182D1A4ff7b6Bd6CF7036ea36ae6C28cF89","","0xDf5E8288aF2D6d9E9E12EB6De008B11811a1d67C","","17.092185","$17.09",""
"0x15b512702469ef1a8078d8f6e54d0423ba64fe9dcd649fde02365d96b341512a","Success","Handle Ops","22672601","2025-06-10 07:14:23","0x95F7e182D1A4ff7b6Bd6CF7036ea36ae6C28cF89","","0x33C0c995eD99C98b17cA861A83D59a3Dd510FA5b","","1.166868","$1.17",""
"0x49ef01227a7f8dc8fcfbee115acd2843aedb3b044b5b7993d82b541936b407f8","Success","0x00000197","22672601","2025-06-10 07:14:23","0xc4922d64a24675E16e1586e3e3Aa56C06fABe907","Circle: Token Minter","0x0000000000000000000000000000000000000000","Null: 0x000...000","0.064087","$0.06",""
"0x49ef01227a7f8dc8fcfbee115acd2843aedb3b044b5b7993d82b541936b407f8","Success","0x00000197","22672601","2025-06-10 07:14:23","0x3a23F943181408EAC424116Af7b7790c94Cb97a5","Socket: Gateway","0xc4922d64a24675E16e1586e3e3Aa56C06fABe907","Circle: Token Minter","0.064087","$0.06",""
"0x49ef01227a7f8dc8fcfbee115acd2843aedb3b044b5b7993d82b541936b407f8","Success","0x00000197","22672601","2025-06-10 07:14:23","0x3a23F943181408EAC424116Af7b7790c94Cb97a5","Socket: Gateway","0xc91E5068968ACAEC9C8E7C056390d9e3CB34f7FC","","0.2","$0.20",""
"0x49ef01227a7f8dc8fcfbee115acd2843aedb3b044b5b7993d82b541936b407f8","Success","0x00000197","22672601","2025-06-10 07:14:23","0x55877bD7F2EE37BDe55cA4B271A3631f3A7ef121","","0x3a23F943181408EAC424116Af7b7790c94Cb97a5","Socket: Gateway","0.264087","$0.26",""
"0x49ef01227a7f8dc8fcfbee115acd2843aedb3b044b5b7993d82b541936b407f8","Success","0x00000197","22672601","2025-06-10 07:14:23","0x55877bD7F2EE37BDe55cA4B271A3631f3A7ef121","","0x922164BBBd36Acf9E854AcBbF32faCC949fCAEef","","0.000026","$0.00",""
"0x49ef01227a7f8dc8fcfbee115acd2843aedb3b044b5b7993d82b541936b407f8","Success","0x00000197","22672601","2025-06-10 07:14:23","0xBA12222222228d8Ba445958a75a0704d566BF2C8","Balancer: Vault","0x55877bD7F2EE37BDe55cA4B271A3631f3A7ef121","","0.264113","$0.26",""
"0x2186938e9e2c4dbf7aa4718317a298d9d149784c9876d1b219d39b2c6b09a9f1","Success","Execute Meta Txn","22672601","2025-06-10 07:14:23","0xd71baaCbCB10720b16a63620605cb4b962C47d20","","0xe0e0e08A6A4b9Dc7bD67BCB7aadE5cF48157d444","Ekubo: Core","779.615881","$779.46",""
"0x2186938e9e2c4dbf7aa4718317a298d9d149784c9876d1b219d39b2c6b09a9f1","Success","Execute Meta Txn","22672601","2025-06-10 07:14:23","0xd71baaCbCB10720b16a63620605cb4b962C47d20","","0x000000000004444c5dc75cB358380D2e3dE08A90","Uniswap V4: Pool Manager","1,363.952665","$1,363.69",""
"0x2186938e9e2c4dbf7aa4718317a298d9d149784c9876d1b219d39b2c6b09a9f1","Success","Execute Meta Txn","22672601","2025-06-10 07:14:23","0xe0e0e08A6A4b9Dc7bD67BCB7aadE5cF48157d444","Ekubo: Core","0xd71baaCbCB10720b16a63620605cb4b962C47d20","","2,143.568546","$2,143.15",""
"0xae8eefcb9920a4a08bf0c74f51221b8a1f804c32117a6358309897463ba3c219","Success","Uniswap V3Swap To","22672601","2025-06-10 07:14:23","0x6088d94C5a40CEcd3ae2D4e0710cA687b91c61d0","","0xE0554a476A092703abdB3Ef35c80e0D76d32939F","Uniswap V3: USDC 4","15.953781","$15.95",""
"0xae8eefcb9920a4a08bf0c74f51221b8a1f804c32117a6358309897463ba3c219","Success","Uniswap V3Swap To","22672601","2025-06-10 07:14:23","0x4a480F11a98D09A7c37ecBb4FAfccF803E287f42","Uniswap V3: SKATE-USDC","0x6088d94C5a40CEcd3ae2D4e0710cA687b91c61d0","","15.953781","$15.95",""
"0x85b57c84770572b8bb46f454011cfa4d67433c56fc8d84b4efe3b8021ecf0fb0","Success","Swap Exact Yt For Token","22672601","2025-06-10 07:14:23","0x888888888889758F76e7103c6CbF23ABbF58F946","Pendle: RouterV4","0xe36c4ddFA223B31dD64332C8C072c134eA6f2A1c","","11,928.369678","$11,926.03",""
"0x85b57c84770572b8bb46f454011cfa4d67433c56fc8d84b4efe3b8021ecf0fb0","Success","Swap Exact Yt For Token","22672601","2025-06-10 07:14:23","0x823a72Be4A57203CA71C9EFE025a609b95F6207e","","0x888888888889758F76e7103c6CbF23ABbF58F946","Pendle: RouterV4","11,928.369678","$11,926.03",""
"0x85b57c84770572b8bb46f454011cfa4d67433c56fc8d84b4efe3b8021ecf0fb0","Success","Swap Exact Yt For Token","22672601","2025-06-10 07:14:23","0x6A000F20005980200259B80c5102003040001068","ParaSwap: Augustus V6.2","0x823a72Be4A57203CA71C9EFE025a609b95F6207e","","11,940.229909","$11,937.89",""
"0x85b57c84770572b8bb46f454011cfa4d67433c56fc8d84b4efe3b8021ecf0fb0","Success","Swap Exact Yt For Token","22672601","2025-06-10 07:14:23","0x37305B1cD40574E4C5Ce33f8e8306Be057fD7341","Sky: PSM","0x6A000F20005980200259B80c5102003040001068","ParaSwap: Augustus V6.2","11,940.229909","$11,937.89",""
"0x6819844edbe85583ab894e6d9b1e8ad6c3331e1d78930fcc4f41c2030f79bcd9","Success","Permit Multicall","22672601","2025-06-10 07:14:23","0xeeeeee9eC4769A09a76A83C7bC42b185872860eE","","0xe35Bfbf439D7C37E2Df41BF1236cCf1dEc0543fd","Uniswap V3: PLUME-USDC","4.340799","$4.34",""
"0x6819844edbe85583ab894e6d9b1e8ad6c3331e1d78930fcc4f41c2030f79bcd9","Success","Permit Multicall","22672601","2025-06-10 07:14:23","0xf70da97812CB96acDF810712Aa562db8dfA3dbEF","","0xeeeeee9eC4769A09a76A83C7bC42b185872860eE","","4.340799","$4.34",""
